C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,19:00:00,REGULAR,0004488498,0007039243                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,23:00:00,REGULAR,0004488845,0007039590                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/26/2014,03:00:00,REGULAR,0004488941,0007039633                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/26/2014,07:00:00,REGULAR,0004488967,0007039738                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/26/2014,11:00:00,REGULAR,0004489115,0007040541                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/26/2014,19:00:00,REGULAR,0004489980,0007041681                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/26/2014,23:00:00,REGULAR,0004490238,0007041857                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/27/2014,03:00:00,REGULAR,0004490305,0007041913                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/27/2014,07:00:00,REGULAR,0004490328,0007041942                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/27/2014,11:00:00,REGULAR,0004490404,0007042084                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/27/2014,15:00:00,REGULAR,0004490545,0007042361                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/27/2014,19:00:00,REGULAR,0004490678,0007042549                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/27/2014,23:00:00,REGULAR,0004490790,0007042705                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/28/2014,03:00:00,REGULAR,0004490832,0007042775                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/28/2014,07:00:00,REGULAR,0004490840,0007042860                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/28/2014,11:00:00,REGULAR,0004490931,0007043255                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/28/2014,15:00:00,REGULAR,0004491233,0007043640                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/28/2014,19:00:00,REGULAR,0004491665,0007044123                                     
